Type	cluster_no	total_k	total_s
American Restaurant	0	1020	20
American Restaurant	1	231	0
American Restaurant	2	206	20
American Restaurant	3	695	0
American Restaurant	4	0	352
American Restaurant	5	0	36
American Restaurant	6	0	9
American Restaurant	7	0	771
American Restaurant	8	0	1
American Restaurant	9	0	162
American Restaurant	10	0	1
American Restaurant	11	0	5
American Restaurant	12	0	1
American Restaurant	13	0	765
American Restaurant	14	0	2
Asian Food	0	29	1
Asian Food	1	5	0
Asian Food	2	2	0
Asian Food	3	14	0
Asian Food	4	0	5
Asian Food	5	0	1
Asian Food	7	0	24
Asian Food	9	0	1
Asian Food	13	0	18
Asian Restaurant	0	2769	44
Asian Restaurant	1	722	0
Asian Restaurant	2	509	58
Asian Restaurant	3	2105	2
Asian Restaurant	4	0	927
Asian Restaurant	5	0	148
Asian Restaurant	6	0	18
Asian Restaurant	7	0	2263
Asian Restaurant	8	0	1
Asian Restaurant	9	0	411
Asian Restaurant	10	0	2
Asian Restaurant	11	0	14
Asian Restaurant	13	0	2182
Asian Restaurant	14	0	3
Bakery	0	666	13
Bakery	1	167	0
Bakery	2	227	20
Bakery	3	804	0
Bakery	4	0	260
Bakery	5	0	60
Bakery	6	0	7
Bakery	7	0	643
Bakery	9	0	146
Bakery	11	0	3
Bakery	13	0	696
Bakery	14	0	4
Buffet	0	103	1
Buffet	1	33	0
Buffet	2	16	3
Buffet	3	52	0
Buffet	4	0	33
Buffet	5	0	3
Buffet	7	0	90
Buffet	9	0	12
Buffet	11	0	1
Buffet	13	0	61
Café	0	153	39
Café	1	28	0
Café	2	4076	77
Café	3	2792	3
Café	4	0	1027
Café	5	0	191
Café	6	0	20
Café	7	0	2506
Café	8	0	1
Café	9	0	590
Café	10	0	3
Café	11	0	7
Café	12	0	12
Café	13	0	2535
Café	14	0	10
Chinese Restaurant	0	4322	80
Chinese Restaurant	1	1343	0
Chinese Restaurant	2	738	73
Chinese Restaurant	3	3799	5
Chinese Restaurant	4	0	1544
Chinese Restaurant	5	0	251
Chinese Restaurant	6	0	23
Chinese Restaurant	7	0	3773
Chinese Restaurant	9	0	727
Chinese Restaurant	10	0	4
Chinese Restaurant	11	0	18
Chinese Restaurant	12	0	8
Chinese Restaurant	13	0	3648
Chinese Restaurant	14	0	12
Deli	0	38	1
Deli	1	3	0
Deli	2	7	1
Deli	3	33	0
Deli	4	0	16
Deli	5	0	3
Deli	7	0	33
Deli	9	0	6
Deli	13	0	20
Diner	0	3040	31
Diner	1	633	0
Diner	2	698	62
Diner	3	2146	2
Diner	4	0	924
Diner	5	0	171
Diner	6	0	17
Diner	7	0	2324
Diner	9	0	520
Diner	10	0	1
Diner	11	0	6
Diner	12	0	5
Diner	13	0	2420
Diner	14	0	8
English Restaurant	0	181	1
English Restaurant	1	34	0
English Restaurant	2	63	3
English Restaurant	3	118	0
English Restaurant	4	0	67
English Restaurant	5	0	8
