X,Y,OBJECTID,STN_NAME,STN_NO,LOCATION,AREA,REGION,LOC
103.79385090000001,1.427259979,175,WOODLANDS SOUTH MRT STATION,TE3,WOODLANDS,WOODLANDS_YISHUN_SEMBAWANG,NORTH,N1
103.7879308,1.436066981,181,WOODLANDS MRT STATION,TE2,WOODLANDS,WOODLANDS_YISHUN_SEMBAWANG,NORTH,N1
103.89053940000001,1.3867239219999998,46,RENJONG LRT STATION,SW8,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.8858441,1.3893479530000001,74,TONGKANG LRT STATION,SW7,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.8800296,1.392079839,67,LAYAR LRT STATION,SW6,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.87630859999999,1.391885888,73,FERNVALE LRT STATION,SW5,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.8756352,1.397318155,56,THANGGAM LRT STATION,SW4,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.88125620000001,1.3982128280000001,45,KUPANG LRT STATION,SW3,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.88930479999999,1.397170196,44,FARMWAY LRT STATION,SW2,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.89379720000001,1.396277631,70,CHENG LIM LRT STATION,SW1,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.8954426,1.391609364,92,SENGKANG LRT STATION,STC,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.8971947,1.3842335609999998,89,RANGGUNG LRT STATION,SE5,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.902174,1.383978902,68,KANGKAR LRT STATION,SE4,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.9054391,1.388092704,81,BAKAU LRT STATION,SE3,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.9059736,1.391468497,82,RUMBIA LRT STATION,SE2,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.9004925,1.394493046,83,COMPASSVALE LRT STATION,SE1,SENGKANG,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.8972097,1.405088585,53,SOO TECK LRT STATION,PW7,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.8985585,1.408452426,72,SUMANG LRT STATION,PW6,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.90031379999999,1.411870458,52,NIBONG LRT STATION,PW5,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.9021563,1.415901719,51,SAMUDERA LRT STATION,PW4,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.9066508,1.41684852,71,PUNGGOL POINT LRT STATION,PW3,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.90657759999999,1.412770894,77,TECK LEE LRT STATION,PW2,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.9048316,1.409612685,43,SAM KEE LRT STATION,PW1,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.9024119,1.4051947009999999,50,PUNGGOL LRT STATION,PTC,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.9086035,1.405234836,58,DAMAI LRT STATION,PE7,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.91272740000001,1.402286677,42,OASIS LRT STATION,PE6,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.91648670000001,1.3995848530000001,54,KADALOOR LRT STATION,PE5,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.9161661,1.3945244959999998,60,RIVIERA LRT STATION,PE4,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.9125809,1.393909226,55,CORAL EDGE LRT STATION,PE3,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.90895019999999,1.396912053,69,MERIDIAN LRT STATION,PE2,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.90596190000001,1.399281985,59,COVE LRT STATION,PE1,PUNGGOL,PUNGGOL_SENGKANG,NORTH_EAST,NE3
103.7864851,1.436875128,24,WOODLANDS MRT STATION,NS9,WOODLANDS,WOODLANDS_YISHUN_SEMBAWANG,NORTH,N1
103.77407149999999,1.432514421,36,MARSILING MRT STATION,NS8,KRANJI,WOODLANDS_YISHUN_SEMBAWANG,NORTH,N1
103.76216540000001,1.425177699,4,KRANJI MRT STATION,NS7,KRANJI,WOODLANDS_YISHUN_SEMBAWANG,NORTH,N1
103.7474051,1.3975350180000001,6,YEW TEE MRT STATION,NS5,KRANJI,WOODLANDS_YISHUN_SEMBAWANG,NORTH,N1
103.74434090000001,1.3853616930000001,19,CHOA CHU KANG MRT STATION,NS4,CHOA CHU KANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.75189350000001,1.358761857,35,BUKIT GOMBAK MRT STATION,NS3,CHOA CHU KANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.8628598,1.271336711,150,MARINA SOUTH PIER MRT STATION,NS28,MARINA BAY,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.8545978,1.276427355,128,MARINA BAY MRT STATION,NS27,MARINA BAY,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.8514617,1.284125611,186,RAFFLES PLACE MRT STATION,NS26,RAFFLES,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.85258590000001,1.292936243,95,CITY HALL MRT STATION,NS25,RAFFLES,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
